INFO 2026-06-13 21:23:00,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:23:15,022 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.006s | status=200
INFO 2026-06-13 21:23:30,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.006s | status=200
INFO 2026-06-13 21:23:45,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:24:00,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:24:15,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:24:30,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:24:45,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:25:00,019 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:25:15,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:25:30,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:25:45,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:26:00,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:26:15,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:26:30,019 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:26:45,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:27:00,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:27:15,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:27:30,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:27:45,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:28:00,022 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.007s | status=200
INFO 2026-06-13 21:28:15,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:28:30,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:28:45,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:29:00,023 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.007s | status=200
INFO 2026-06-13 21:29:15,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:29:30,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:29:45,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:30:00,022 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.006s | status=200
INFO 2026-06-13 21:30:15,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:30:30,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:30:45,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:31:00,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:31:15,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.006s | status=200
INFO 2026-06-13 21:31:30,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:31:45,025 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.010s | status=200
INFO 2026-06-13 21:32:00,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:32:15,022 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.006s | status=200
INFO 2026-06-13 21:32:30,022 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.006s | status=200
INFO 2026-06-13 21:32:45,019 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:33:00,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:33:15,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:33:30,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:33:45,021 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:34:00,023 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.008s | status=200
INFO 2026-06-13 21:34:15,019 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.004s | status=200
INFO 2026-06-13 21:34:30,020 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.005s | status=200
INFO 2026-06-13 21:34:45,022 imageservice GET /metrics | user=Anonymous | ip=172.18.0.3 | time=0.007s | status=200
